15,"Friday, 9 July (8:10 pm) ",Port Adelaide 12.7 (79) ,def. by ,Collingwood 16.9 (105) ,"AAMI Stadium (crowd: 24,260) ",Report
15,"Saturday, 10 July (1:10 pm) ",West Coast 14.11 (95) ,def. by ,Adelaide 17.15 (117) ,"Subiaco Oval (crowd: 26,976) ",Report
15,"Saturday, 10 July (2:10 pm) ",Geelong 12.13 (85) ,def. ,Hawthorn 11.17 (83) ,"MCG (crowd: 69,220) ",Report
15,"Saturday, 10 July (7:10 pm) ",Richmond 15.10 (100) ,def. ,Fremantle 11.15 (81) ,"Etihad Stadium (crowd: 25,707) ",Report
15,"Saturday, 10 July (7:10 pm) ",Brisbane Lions 10.5 (65) ,def. by ,St Kilda 11.13 (79) ,"Gabba (crowd: 29,329) ",Report
15,"Sunday, 11 July (1:10 pm) ",Sydney 12.13 (85) ,def. ,North Melbourne 7.13 (55) ,"SCG (crowd: 23,856) ",Report
15,"Sunday, 11 July (2:10 pm) ",Melbourne 19.8 (122) ,def. ,Essendon 14.19 (103) ,"MCG (crowd: 49,203) ",Report
15,"Sunday, 11 July (4:40 pm) ",Carlton 8.10 (58) ,def. by ,Western Bulldogs 20.6 (126) ,"Etihad Stadium (crowd: 37,517) ",Report
,,,,,,
16,"Friday, 16 July (8:10 pm) ",Adelaide 11.8 (74) ,def. ,Geelong 9.9 (63) ,"AAMI Stadium (crowd: 41,195) ",Report
16,"Saturday, 17 July (2:10 pm) ",Collingwood 15.10 (100) ,def. ,St Kilda 6.16 (52) ,"MCG (crowd: 81,386) ",Report
16,"Saturday, 17 July (2:10 pm) ",Hawthorn 17.16 (118) ,def. ,Brisbane Lions 7.1 (43) ,"Aurora Stadium (crowd: 16,690) ",Report
16,"Saturday, 17 July (7:10 pm) ",Essendon 14.16 (100) ,def. by ,West Coast 20.12 (132) ,"Etihad Stadium (crowd: 26,991) ",Report
16,"Saturday, 17 July (7:10 pm) ",Western Bulldogs 12.11 (83) ,def. ,Port Adelaide 7.5 (47) ,"TIO Stadium (crowd: 10,108) ",Report
16,"Sunday, 18 July (1:10 pm) ",Carlton 10.8 (68) ,def. by ,Sydney 16.11 (107) ,"Etihad Stadium (crowd: 31,915) ",Report
16,"Sunday, 18 July (2:10 pm) ",Richmond 7.11 (53) ,def. by ,North Melbourne 15.13 (103) ,"MCG (crowd: 42,723) ",Report
16,"Sunday, 18 July (2:40 pm) ",Fremantle 11.16 (82) ,def. ,Melbourne 10.11 (71) ,"Subiaco Oval (crowd: 32,816) ",Report
,,,,,,
17,"Friday, 23 July (7:40 pm) ",St Kilda 14.3 (87) ,drew with ,Hawthorn 13.9 (87) ,"Etihad Stadium (crowd: 49,373) ",Report
17,"Saturday, 24 July (2:10 pm) ",Collingwood 19.13 (127) ,def. ,Richmond 6.9 (45) ,"MCG (crowd: 66,727) ",Report
17,"Saturday, 24 July (2:10 pm) ",Geelong 19.13 (127) ,def. ,Brisbane Lions 9.10 (64) ,"Skilled Stadium (crowd: 24,508) ",Report
17,"Saturday, 24 July (7:10 pm) ",North Melbourne 18.11 (119) ,def. by ,Essendon 18.14 (122) ,"Etihad Stadium (crowd: 30,330) ",Report
17,"Saturday, 24 July (5:40 pm) ",West Coast 11.17 (83) ,def. by ,Carlton 15.19 (109) ,"Subiaco Oval (crowd: 35,925) ",Report
17,"Sunday, 25 July (1:10 pm) ",Western Bulldogs 24.14 (158) ,def. ,Fremantle 12.4 (76) ,"Etihad Stadium (crowd: 26,797) ",Report
17,"Sunday, 25 July (2:10 pm) ",Melbourne 22.10 (142) ,def. ,Sydney 10.9 (69) ,"MCG (crowd: 29,374) ",Report
17,"Sunday, 25 July (4:10 pm) ",Port Adelaide 13.10 (88) ,def. ,Adelaide 9.15 (69) ,"AAMI Stadium (crowd: 36,788) ",Report
,,,,,,
18,"Friday, 30 July (7:40 pm) ",Essendon 16.12 (108) ,def. ,St Kilda 11.9 (75) ,"Etihad Stadium (crowd: 37,165) ",Report
18,"Saturday, 31 July (2:10 pm) ",Collingwood 15.15 (105) ,def. ,Carlton 9.3 (57) ,"MCG (crowd: 76,980) ",Report
18,"Saturday, 31 July (2:40 pm) ",Port Adelaide 13.14 (92) ,def. ,Hawthorn 12.12 (84) ,"AAMI Stadium (crowd: 22,340) ",Report
18,"Saturday, 31 July (7:10 pm) ",Sydney 9.18 (72) ,def. by ,Geelong 20.5 (125) ,"ANZ Stadium (crowd: 30,710) ",Report
18,"Saturday, 31 July (7:10 pm) ",Brisbane Lions 9.10 (64) ,def. by ,Melbourne 11.8 (74) ,"Gabba (crowd: 26,144) ",Report
18,"Sunday, 1 August (1:10 pm) ",Richmond 15.10 (100) ,def. ,Adelaide 11.14 (80) ,"MCG (crowd: 19,181) ",Report
18,"Sunday, 1 August (2:10 pm) ",Western Bulldogs 22.11 (143) ,def. ,North Melbourne 10.12 (72) ,"Etihad Stadium (crowd: 28,038) ",Report
