10,"Friday, 1 June (7:50 pm) ",St Kilda 16.17 (113) ,def. by ,Richmond 18.13 (121) ,"Etihad Stadium (crowd: 49,337) "
10,"Saturday, 2 June (1:45 pm) ",Geelong 19.12 (126) ,def. ,Greater Western Sydney 9.7 (61) ,"Simonds Stadium (crowd: 17,243) "
10,"Saturday, 2 June (2:10 pm) ",Hawthorn 27.12 (174) ,def. ,North Melbourne 9.5 (59) ,"Aurora Stadium (crowd: 16,143) "
10,"Saturday, 2 June (2:40 pm) ",Fremantle 12.10 (82) ,def. by ,Adelaide 17.9 (111) ,"Patersons Stadium (crowd: 31,392) "
10,"Saturday, 2 June (7:10 pm) ",Port Adelaide 14.15 (99) ,def. ,Carlton 6.9 (45) ,"AAMI Stadium (crowd: 24,476) "
10,"Saturday, 2 June (7:40 pm) ",Essendon 6.16 (52) ,def. by ,Melbourne 8.10 (58) ,"MCG (crowd: 42,987) "
10,"Sunday, 3 June (1:10 pm) ",Brisbane Lions 16.6 (102) ,def. ,West Coast 15.10 (100) ,"The Gabba (crowd: 15,546) "
10,"Sunday, 3 June (3:15 pm) ",Sydney 20.12 (132) ,def. ,Western Bulldogs 5.10 (40) ,"SCG (crowd: 13,505) "
10,"Sunday, 3 June (4:40 pm) ",Collingwood 23.11 (149) ,def. ,Gold Coast 7.10 (52) ,"MCG (crowd: 36,913) "
,,,,,
11,"Friday, 8 June (7:50 pm) ",Carlton 11.19 (85) ,def. by ,Geelong 14.13 (97) ,"Etihad Stadium (crowd: 47,632) "
11,"Saturday, 9 June (1:40 pm) ",Richmond 9.12 (66) ,def. by ,Fremantle 12.6 (78) ,"MCG (crowd: 43,801) "
11,"Saturday, 9 June (4:40 pm) ",Gold Coast 7.7 (49) ,def. by ,St Kilda 21.18 (144) ,"Metricon Stadium (crowd: 12,534) "
11,"Saturday, 9 June (7:40 pm) ",Essendon 11.16 (82) ,def. by ,Sydney 13.8 (86) ,"Etihad Stadium (crowd: 42,785) "
11,"Sunday, 10 June (4:10 pm) ",Port Adelaide 9.8 (62) ,def. by ,Hawthorn 16.12 (108) ,"AAMI Stadium (crowd: 26,638) "
11,"Monday, 11 June (3:15 pm) ",Melbourne 13.9 (87) ,def. by ,Collingwood 19.15 (129) ,"MCG (crowd: 64,250) "
,,,,,
12,"Thursday, 14 June (5:40 pm) ",West Coast 10.19 (79) ,def. ,Carlton 10.9 (69) ,"Patersons Stadium (crowd: 34,224) "
12,"Friday, 15 June (8:10 pm) ",Adelaide 17.13 (115) ,def. ,St Kilda 16.15 (111) ,"AAMI Stadium (crowd: 36,394) "
12,"Saturday, 16 June (2:10 pm) ",Greater Western Sydney 12.2 (74) ,def. by ,Richmond 11.20 (86) ,"Škoda Stadium (crowd: 7,358) "
12,"Saturday, 16 June (7:40 pm) ",Gold Coast 12.8 (80) ,def. by ,North Melbourne 11.21 (87) ,"Metricon Stadium (crowd: 10,170) "
12,"Sunday, 17 June (1:10 pm) ",Hawthorn 19.21 (135) ,def. ,Brisbane Lions 11.4 (70) ,"MCG (crowd: 35,492) "
12,"Sunday, 17 June (4:40 pm) ",Western Bulldogs 13.17 (95) ,def. ,Port Adelaide 8.9 (57) ,"Etihad Stadium (crowd: 16,036) "
,,,,,
13,"Friday, 22 June (7:50 pm) ",Sydney 12.8 (80) ,def. ,Geelong 11.8 (74) ,"SCG (crowd: 27,400) "
13,"Saturday, 23 June (1:40 pm) ",Western Bulldogs 7.14 (56) ,def. by ,Brisbane Lions 18.6 (114) ,"Etihad Stadium (crowd: 20,146) "
13,"Saturday, 23 June (4:40 pm) ",Collingwood 12.13 (85) ,def. ,West Coast 12.10 (82) ,"MCG (crowd: 62,957) "
13,"Saturday, 23 June (5:40 pm) ",Fremantle 14.5 (89) ,def. by ,Essendon 17.11 (113) ,"Patersons Stadium (crowd: 34,567) "
13,"Sunday, 24 June (3:15 pm) ",Melbourne 20.15 (135) ,def. ,Greater Western Sydney 9.3 (57) ,"MCG (crowd: 20,070) "
13,"Sunday, 24 June (4:40 pm) ",North Melbourne 17.19 (121) ,def. ,Adelaide 13.11 (89) ,"Etihad Stadium (crowd: 18,866) "
,,,,,
14,"Friday, 29 June (7:50 pm) ",Carlton 10.10 (70) ,def. by ,Hawthorn 18.12 (120) ,"MCG (crowd: 65,047) "
14,"Saturday, 30 June (1:45 pm) ",Collingwood 15.17 (107) ,def. ,Fremantle 12.6 (78) ,"MCG (crowd: 44,891) "
14,"Saturday, 30 June (1:40 pm) ",Adelaide 17.4 (106) ,def. ,Richmond 13.9 (87) ,"AAMI Stadium (crowd: 33,780) "
14,"Saturday, 30 June (2:40 pm) ",West Coast 25.16 (166) ,def. ,Gold Coast 5.10 (40) ,"Patersons Stadium (crowd: 34,592) "
14,"Saturday, 30 June (7:40 pm) ",Sydney 19.18 (132) ,def. ,Greater Western Sydney 5.8 (38) ,"ANZ Stadium (crowd: 22,565) "
14,"Saturday, 30 June (7:40 pm) ",Essendon 21.14 (140) ,def. ,Western Bulldogs 8.8 (56) ,"Etihad Stadium (crowd: 40,824) "
14,"Sunday, 1 July (1:10 pm) ",Geelong 14.15 (99) ,def. ,Port Adelaide 8.13 (61) ,"Simonds Stadium (crowd: 13,736) "
14,"Sunday, 1 July (3:15 pm) ",Brisbane Lions 18.14 (122) ,def. ,Melbourne 8.13 (61) ,"The Gabba (crowd: 22,114) "
14,"Sunday, 1 July (4:40 pm) ",St Kilda 15.13 (103) ,def. by ,North Melbourne 21.10 (136) ,"Etihad Stadium (crowd: 33,106) "
,,,,,
15,"Friday, 6 July (7:50 pm) ",Collingwood 8.14 (62) ,def. by ,Carlton 12.13 (85) ,"MCG (crowd: 75,755) "
15,"Saturday, 7 July (1:45 pm) ",North Melbourne 13.6 (84) ,def. by ,West Coast 12.14 (86) ,"Blundstone Arena (crowd: 14,113) "
15,"Saturday, 7 July (2:10 pm) ",Melbourne 11.12 (78) ,def. by ,Richmond 13.23 (101) ,"MCG (crowd: 46,773) "
15,"Saturday, 7 July (4:40 pm) ",Sydney 16.14 (110) ,def. ,Brisbane Lions 9.9 (63) ,"SCG (crowd: 19,419) "
15,"Saturday, 7 July (7:10 pm) ",Port Adelaide 8.10 (58) ,def. by ,Adelaide 17.14 (116) ,"AAMI Stadium (crowd: 34,829) "
15,"Saturday, 7 July (7:40 pm) ",St Kilda 21.7 (133) ,def. ,Essendon 8.14 (62) ,"Etihad Stadium (crowd: 45,838) "
15,"Sunday, 8 July (1:10 pm) ",Hawthorn 28.25 (193) ,def. ,Greater Western Sydney 4.7 (31) ,"MCG (crowd: 26,518) "
15,"Sunday, 8 July (3:15 pm) ",Gold Coast 13.18 (96) ,def. by ,Geelong 15.20 (110) ,"Metricon Stadium (crowd: 15,824) "
15,"Sunday, 8 July (2:40 pm) ",Fremantle 14.11 (95) ,def. ,Western Bulldogs 8.9 (57) ,"Patersons Stadium (crowd: 30,420) "
,,,,,
16,"Friday, 13 July (7:50 pm) ",North Melbourne 24.5 (149) ,def. ,Carlton 14.12 (96) ,"Etihad Stadium (crowd: 46,423) "
16,"Saturday, 14 July (1:45 pm) ",Melbourne 12.11 (83) ,def. by ,Fremantle 18.9 (117) ,"Etihad Stadium (crowd: 13,284) "
16,"Saturday, 14 July (1:40 pm) ",Port Adelaide 11.11 (77) ,def. by ,Essendon 19.13 (127) ,"AAMI Stadium (crowd: 17,344) "
16,"Saturday, 14 July (4:40 pm) ",Richmond 13.10 (88) ,def. by ,Gold Coast 13.12 (90) ,"Cazaly's Stadium (crowd: 10,961) "
16,"Saturday, 14 July (7:40 pm) ",Brisbane Lions 14.8 (92) ,def. by ,St Kilda 16.9 (105) ,"The Gabba (crowd: 19,228) "
16,"Saturday, 14 July (7:40 pm) ",Geelong 10.19 (79) ,def. by ,Collingwood 17.8 (110) ,"MCG (crowd: 61,717) "
16,"Sunday, 15 July (1:10 pm) ",Greater Western Sydney 8.11 (59) ,def. by ,Adelaide 27.16 (178) ,"Škoda Stadium (crowd: 7,669) "
16,"Sunday, 15 July (3:15 pm) ",Western Bulldogs 6.8 (44) ,def. by ,Hawthorn 17.14 (116) ,"Etihad Stadium (crowd: 24,754) "
16,"Sunday, 15 July (2:40 pm) ",West Coast 10.9 (69) ,def. by ,Sydney 18.13 (121) ,"Patersons Stadium (crowd: 39,152) "
,,,,,
17,"Friday, 20 July (7:50 pm) ",Geelong 20.14 (134) ,def. ,Essendon 10.7 (67) ,"Etihad Stadium (crowd: 50,066) "
17,"Saturday, 21 July (1:45 pm) ",Collingwood 13.13 (91) ,def. by ,Hawthorn 21.12 (138) ,"MCG (crowd: 83,714) "
17,"Saturday, 21 July (1:40 pm) ",Adelaide 19.10 (124) ,def. ,West Coast 11.9 (75) ,"AAMI Stadium (crowd: 40,724) "
17,"Saturday, 21 July (4:40 pm) ",Gold Coast 5.18 (48) ,def. by ,Brisbane Lions 8.11 (59) ,"Metricon Stadium (crowd: 16,550) "
17,"Saturday, 21 July (7:10 pm) ",Melbourne 8.8 (56) ,def. by ,Port Adelaide 12.12 (84) ,"TIO Stadium (crowd: 6,714) "
17,"Saturday, 21 July (7:40 pm) ",Western Bulldogs 12.12 (84) ,def. by ,Carlton 16.6 (102) ,"Etihad Stadium (crowd: 24,615) "
17,"Sunday, 22 July (1:10 pm) ",Sydney 15.15 (105) ,def. ,St Kilda 10.16 (76) ,"SCG (crowd: 26,834) "
17,"Sunday, 22 July (3:15 pm) ",Richmond 14.15 (99) ,def. by ,North Melbourne 15.13 (103) ,"MCG (crowd: 47,432) "
17,"Sunday, 22 July (2:40 pm) ",Fremantle 18.24 (132) ,def. ,Greater Western Sydney 5.7 (37) ,"Patersons Stadium (crowd: 28,767) "
,,,,,
18,"Friday, 27 July (7:50 pm) ",Essendon 12.14 (86) ,def. by ,Hawthorn 27.18 (180) ,"Etihad Stadium (crowd: 44,899) "
